temperature,humidity,N,P,K,pH,rainfall,water_resource,crop
27.49816047538945,94.26071459614874,129.2797576724562,51.97316968394073,44.6805592132731,5.733991780504304,1234.8501673009196,high,rice
29.464704583099742,89.01672517614813,128.3229031118418,40.41168988591605,69.09729556485983,6.7486639612006325,1327.4034664069657,high,rice
26.727299868828403,82.7510676478015,112.1696897183815,50.49512863264476,52.95835055926347,5.936843710297063,1567.1117368334276,high,rice
26.557975442608168,84.38216972802827,114.65447373174767,49.121399684340716,63.55527884179041,5.799510673237539,1508.540663048167,high,rice
28.36965827544817,80.69675619079996,124.30179407605753,43.41048247374583,41.95154778955838,6.92332830588,1779.3792198447356,high,rice
29.233589392465845,84.56920653760056,103.90688456025535,53.684660530243136,53.20457481218804,5.683057352267168,1497.106146066762,high,rice
26.137554084460874,93.63980603118173,110.35119926400068,53.25044568707964,49.35133228268233,6.280102031766717,1528.0261676059677,high,rice
26.73941782210211,94.54376941646838,131.0053129344446,58.78997883128378,66.84482051282947,6.396849968216628,1753.12454101387,high,rice
26.35397000820768,82.93974293628717,101.80909155642152,46.506606615265284,51.66031869068446,5.9070235476608435,1697.2425054911575,high,rice
27.427013306774356,84.21401764531072,121.70784332632994,42.818484499495256,64.06590942262119,5.611825965519656,1792.1321619603104,high,rice
29.08897907718663,82.98073522301259,100.2208846849441,56.30922856909668,61.205720315428515,6.593510752061481,1662.7622080115675,high,rice
26.296178606936362,85.37698592816409,104.63476238100519,57.26206851751187,58.69894380482674,5.996347037278974,1238.135010171614,high,rice
27.24392928686265,84.8777498304012,129.18424713352255,52.75114942710427,66.6163822772898,6.208322387742924,1271.756547562981,high,rice
28.85297914889198,91.41177572925346,122.45108790277985,55.41934359909122,54.81386789093172,6.284099244072991,1456.5246110151297,high,rice
26.101676506976382,81.61837140489956,101.25716742746937,52.72820822527561,49.4306794322898,6.2628560367470545,1744.5398843556559,high,rice
26.9971689165955,86.15574384553445,130.22204554172194,44.575963309832446,42.30939729486379,5.934627179370652,1296.7327723524027,high,rice
29.71879060937029,92.12180569346626,125.33615026041694,57.429211803754356,64.11016230697344,5.779855088329054,1735.5353990939866,high,rice
28.157368967662602,92.11160232746094,135.84365199693974,46.36006949943728,43.3015577358303,5.841902743812913,1456.2646731757538,high,rice
29.272059063689973,92.91095874884515,100.27808522124762,50.214946051551316,52.52233009446337,5.833161715706096,1271.9192204002097,high,rice
27.35046068561451,94.14364555868778,112.92811728083021,50.37581243486732,61.090568766855334,6.045444403568941,1783.0692496325764,high,rice
29.849789179768443,83.77673443738047,119.88994023569542,46.017566196335395,48.54521483132403,5.555330421031799,1565.738600387938,high,rice
28.010716092915445,80.77218126874985,111.14585856946445,58.165317719333075,47.186856720009175,5.717342308136835,1493.6716561665378,high,rice
29.9426018164424,83.63082907267251,126.88542189623514,55.232392306574354,47.12912631977199,6.59232452291779,1420.669879631552,high,rice
28.529223322374317,89.50294566141342,121.43098736299034,41.80579540108817,65.05907486767714,5.981170097457603,1311.9111062399124,high,rice
26.163100566219057,88.86339414782363,127.1025744736913,40.331756578557126,55.36279174897843,5.839743662796907,1587.10367424567,high,rice
26.697465716019966,90.364066071537,115.46941385202149,58.73459977473469,44.1256283243798,6.011599526575388,1268.0841127443534,high,rice
29.698774473114252,93.16009030071471,110.31766510860622,53.199680920683576,64.51666600603647,6.332801217399194,1517.7903470136039,high,rice
26.967409163601808,81.3965415170885,135.88863031813307,58.00836114326661,58.99304371819804,6.008544686573051,1409.5257447675965,high,rice
28.903822715480956,93.45665389928865,135.4834569706047,55.597510917152476,59.26094938462863,5.6262099474925735,1296.9772284567682,high,rice
29.594216754108317,89.09643589489384,100.36788206466518,42.02943085732064,59.905053073241675,5.507592375769328,1296.4848308504993,high,rice
28.194935157466343,90.3784279653904,126.07845038010402,44.4853861892112,61.36537664042608,5.8558736312452,1395.2398188955606,high,rice
28.985965620472097,89.74449348570822,133.96893641976712,53.15225784600687,57.04925810006415,5.640512151742139,1420.62948183566,high,rice
27.060809470726902,83.65984465068625,138.92042219009784,47.861954493335205,66.7613966553134,6.446707938995894,1676.8867821249892,high,rice
28.010548372420768,88.65355826939539,119.70070775275455,43.90485975596089,61.67356345784516,5.921158543661283,1214.5895798588724,high,rice
28.58188918362867,82.65666019110573,137.61834337411656,59.07857154005175,67.44593170661346,6.055238050383167,1209.2739699173205,high,rice
29.713274250350903,86.42276222475971,138.6661927617468,59.272399541785056,65.5902836640208,5.941673338104379,1431.0586371611553,high,rice
29.404546686067427,84.75383007734416,106.7797098674437,51.136025249167005,68.08464322482342,6.54404469501246,1542.036702053619,high,rice
26.388705975083074,89.22510840048754,139.60215400417053,42.80168030473048,55.5498895709121,6.816059607891933,1644.4611706525227,high,rice
28.788062963981073,90.53726125980664,114.3796460487902,45.871836885289866,64.28083466435541,6.715170092018771,1720.243391148062,high,rice
29.652962210225887,87.67013598291406,120.06065178748798,55.9659035793355,59.498917923332954,6.552950315886555,1677.4756016616607,high,rice
29.560021367270267,85.06992735277304,115.02331810559775,41.87963879681738,57.34840422988522,5.553913410695113,1479.358810879476,high,rice
28.170578538830306,84.29811878192427,123.63333042276042,40.61000499878099,41.120445662476435,6.733900840989487,1416.1143848467577,high,rice
26.50824205060754,87.83364890082207,130.79974212394444,44.316420549936865,58.68671427457001,5.628021197490652,1231.0090327011646,high,rice
28.125418526272593,88.1095268241516,125.49719605992826,54.52182667445323,69.27556238387604,6.274450522451793,1393.7738837647476,high,rice
29.180744779074814,84.06248376893112,117.55885682822544,41.56912762684532,40.76052230246373,6.943972622016887,1701.5880723073235,high,rice
28.783896824374793,86.13429416621405,106.93177280283383,43.12874085342172,47.50728694493786,6.3238399970591805,1628.7575536200375,high,rice
28.640789506870924,84.19900845418914,138.19461122652777,54.75793833391537,56.63062157534202,6.417581119351528,1451.760037456674,high,rice
26.99092395800463,85.33959017976892,130.31384441857477,40.287869772595116,43.48217921520749,5.569003963032629,1224.4372813913822,high,rice
29.42184233604403,90.55486789070035,118.966953163493,41.95668321302003,54.74847625350497,6.210207656170849,1303.9211219460092,high,rice
